Study_Hours,Attendance,Assignment marks,Previous_Marks,Result
0,72,72,26,Fail
3,70,51,68,Pass
4,56,31,24,Fail
2,85,36,59,Pass
6,34,26,40,Pass
2,57,90,56,Pass
8,76,87,51,Pass
2,65,60,81,Pass
0,43,78,21,Fail
2,38,54,89,Pass
3,34,26,48,Pass
2,47,57,56,Pass
2,63,43,29,Fail
9,72,57,24,Pass
8,46,51,75,Pass
7,98,71,50,Pass
6,93,87,93,Pass
6,39,73,32,Pass
4,79,64,70,Pass
3,60,85,22,Pass
4,45,45,81,Pass
9,91,93,38,Pass
7,98,81,51,Pass
2,47,42,24,Pass
6,49,51,20,Pass
0,77,68,82,Pass
5,45,93,21,Pass
7,66,56,28,Pass
8,56,84,59,Pass
2,46,49,83,Pass
8,56,48,51,Pass
7,32,45,44,Pass
6,43,36,23,Pass
7,73,70,34,Pass
4,83,91,99,Pass
7,92,33,88,Pass
2,48,86,37,Fail
0,70,69,71,Pass
0,95,37,97,Pass
2,97,53,90,Pass
3,86,32,60,Pass
9,69,84,71,Pass
7,31,41,80,Pass
9,56,89,83,Pass
1,91,90,29,Pass
4,40,76,89,Pass
4,55,21,96,Pass
5,94,80,86,Pass
0,37,27,48,Fail
2,89,41,90,Pass
4,96,78,94,Pass
7,55,23,55,Pass
5,90,92,73,Pass
3,51,84,61,Pass
5,67,33,41,Pass
1,94,97,51,Pass
7,53,60,88,Pass
4,69,65,60,Pass
9,75,77,79,Pass
1,61,55,47,Pass
1,38,94,60,Pass
7,72,74,28,Pass
7,47,24,52,Pass
8,74,77,54,Pass
7,67,73,86,Pass
4,83,22,78,Pass
6,85,32,88,Pass
7,40,21,39,Pass
0,37,30,97,Pass
4,69,34,78,Pass
6,31,71,73,Pass
1,54,88,60,Pass
7,91,71,94,Pass
4,59,23,42,Fail
7,98,34,76,Pass
0,47,82,48,Fail
4,99,28,61,Pass
4,54,30,85,Pass
9,89,60,61,Pass
9,42,54,61,Pass
2,69,97,89,Pass
9,57,24,55,Pass
5,92,86,62,Pass
8,32,39,24,Pass
3,67,66,91,Pass
0,87,73,81,Pass
9,32,78,42,Pass
7,30,73,39,Pass
9,53,88,43,Pass
7,36,39,53,Pass
4,69,32,48,Pass
3,78,36,62,Pass
1,86,89,78,Pass
6,95,75,95,Pass
9,89,36,61,Pass
6,71,36,24,Pass
0,36,38,73,Fail
0,39,55,66,Fail
8,79,47,97,Pass
8,70,30,78,Pass
8,89,36,81,Pass
0,57,32,57,Fail
7,64,55,43,Pass
3,70,58,72,Pass
5,46,78,81,Pass
2,66,26,78,Fail
1,45,28,83,Fail
3,30,73,50,Fail
6,56,59,23,Pass
7,95,50,71,Pass
0,57,91,39,Pass
1,75,71,40,Pass
2,33,96,21,Fail
4,54,40,58,Pass
9,38,41,66,Pass
8,42,97,43,Pass
9,54,91,95,Pass
8,99,90,66,Pass
1,85,56,46,Pass
2,40,70,66,Pass
1,57,94,70,Pass
6,65,99,50,Pass
8,33,41,58,Pass
8,99,87,40,Pass
1,46,65,81,Fail
7,76,44,35,Pass
3,49,82,99,Pass
2,94,93,53,Pass
7,71,44,95,Pass
7,80,60,34,Pass
2,84,84,46,Pass
4,56,30,50,Pass
4,95,93,92,Pass
4,34,31,32,Fail
7,79,84,67,Pass
4,48,35,88,Pass
3,75,76,55,Pass
0,89,98,81,Pass
7,48,59,78,Pass
7,84,27,28,Pass
6,32,82,65,Pass
5,82,32,86,Pass
0,58,35,55,Pass
7,96,82,56,Pass
6,39,43,93,Pass
4,79,39,67,Pass
0,55,41,41,Fail
7,78,86,35,Pass
5,91,69,94,Pass
8,98,51,48,Pass
8,63,85,86,Pass
0,91,85,76,Pass
2,65,69,77,Pass
5,87,23,60,Pass
4,43,29,78,Pass
2,68,93,98,Pass
4,61,52,58,Pass
9,67,88,92,Pass
2,71,98,93,Pass
3,84,36,61,Pass
9,94,27,86,Pass
4,58,50,87,Pass
2,73,38,54,Pass
3,61,43,67,Pass
2,80,55,58,Pass
3,50,76,57,Pass
1,79,27,75,Pass
5,55,64,25,Pass
2,62,78,29,Pass
2,39,84,96,Pass
2,61,75,20,Pass
4,65,45,73,Pass
8,76,77,85,Pass
5,88,72,73,Pass
2,56,36,96,Pass
1,92,35,21,Pass
4,37,40,80,Pass
7,54,62,78,Pass
9,58,78,54,Pass
2,77,86,56,Pass
0,98,30,39,Fail
9,79,71,87,Pass
3,65,50,73,Pass
0,88,65,67,Pass
8,57,58,25,Pass
6,42,94,23,Pass
0,90,91,64,Pass
1,88,58,87,Pass
8,86,88,22,Pass
9,99,32,49,Pass
5,50,43,51,Pass
3,34,78,32,Pass
7,50,67,89,Pass
2,82,23,96,Pass
9,66,29,94,Pass
3,93,35,96,Pass
6,99,99,69,Pass
0,31,66,58,Pass
0,37,81,28,Fail
4,75,87,90,Pass
5,42,37,44,Pass
3,66,26,29,Pass
1,43,98,29,Fail
6,69,58,40,Pass
7,85,97,67,Pass
8,35,29,45,Pass
5,65,66,36,Pass
1,45,92,95,Pass
2,35,87,37,Fail
1,67,70,42,Fail
2,32,61,62,Pass
4,30,68,92,Pass
7,33,99,70,Pass
6,74,49,31,Pass
3,33,65,24,Fail
1,98,89,51,Pass
0,68,76,69,Pass
8,46,71,46,Pass
9,85,63,76,Pass
3,43,39,79,Pass
8,64,33,79,Pass
6,75,49,99,Pass
5,79,69,56,Pass
4,74,54,47,Pass
1,44,21,83,Fail
8,43,41,30,Pass
0,74,83,84,Pass
7,51,84,29,Pass
4,33,76,81,Pass
8,37,49,42,Pass
7,76,84,62,Pass
3,43,84,78,Pass
0,49,91,76,Pass
2,64,31,98,Pass
4,70,72,57,Pass
5,73,22,80,Pass
9,43,23,48,Pass
3,87,89,34,Pass
7,72,99,20,Pass
6,49,66,69,Pass
6,44,50,54,Pass
3,87,99,63,Pass
3,75,99,86,Pass
8,98,53,32,Pass
1,54,23,81,Pass
0,62,70,68,Pass
2,44,93,79,Pass
4,83,33,41,Pass
6,65,82,63,Pass
0,30,72,60,Pass
6,81,40,72,Pass
2,99,32,38,Pass
6,72,60,49,Pass
4,74,68,95,Pass
3,56,40,33,Pass
3,62,50,67,Pass
5,74,56,41,Pass
0,66,20,51,Fail
0,92,85,76,Pass
7,30,21,92,Pass
3,96,49,57,Pass
0,36,90,61,Fail
6,87,87,93,Pass
4,96,51,56,Pass
3,39,64,21,Pass
2,86,97,96,Pass
7,44,64,51,Pass
0,92,51,32,Fail
3,61,82,80,Pass
1,76,88,90,Pass
2,52,38,86,Pass
3,85,51,69,Pass
7,49,87,22,Pass
1,90,87,71,Pass
9,81,52,94,Pass
0,42,77,34,Pass
4,99,66,36,Pass
7,99,61,90,Pass
5,58,53,41,Pass
8,88,84,89,Pass
6,46,49,97,Pass
0,93,30,76,Pass
2,53,98,71,Pass
4,78,54,95,Pass
0,67,66,42,Pass
3,91,34,42,Pass
3,80,21,96,Pass
4,79,99,73,Pass
1,94,96,43,Pass
3,75,78,51,Pass
4,89,31,94,Pass
5,72,88,36,Pass
6,48,77,58,Pass
6,50,57,35,Pass
4,47,46,26,Pass
3,83,76,51,Pass
5,80,80,67,Pass
7,59,35,65,Pass
6,67,23,80,Pass
3,33,23,77,Fail
6,57,90,83,Pass
3,78,47,44,Pass
5,35,90,32,Pass
7,77,65,58,Pass
3,70,29,72,Pass
7,76,50,25,Pass
6,78,78,55,Pass
5,45,79,81,Pass
2,37,44,61,Pass
9,54,92,28,Pass
5,82,24,51,Pass
4,50,36,41,Fail
7,88,75,87,Pass
9,99,43,43,Pass
8,70,35,48,Pass
9,96,53,45,Pass
9,49,97,90,Pass
9,73,71,63,Pass
1,67,74,42,Pass
7,43,74,49,Pass
9,48,26,69,Pass
0,56,78,76,Pass
5,57,91,86,Pass
8,68,89,47,Pass
2,30,36,73,Fail
8,75,47,87,Pass
0,58,44,85,Fail
6,52,32,50,Pass
6,95,34,65,Pass
9,81,33,72,Pass
3,78,42,86,Pass
9,69,32,46,Pass
4,37,72,66,Pass
5,32,94,44,Pass
3,43,34,29,Pass
6,77,70,28,Pass
6,86,33,71,Pass
1,75,33,20,Fail
9,59,39,69,Pass
8,70,45,71,Pass
9,45,87,88,Pass
1,50,38,99,Fail
1,69,95,67,Pass
2,35,66,25,Fail
2,91,89,97,Pass
2,90,40,26,Pass
9,32,43,56,Pass
5,81,98,31,Pass
6,37,44,88,Pass
3,67,36,25,Fail
8,74,45,89,Pass
3,66,22,88,Pass
6,83,47,86,Pass
0,93,39,75,Pass
1,33,31,55,Pass
2,59,32,65,Fail
3,45,60,22,Fail
4,80,47,83,Pass
8,41,47,77,Pass
3,71,63,27,Pass
1,46,88,91,Pass
1,94,98,49,Pass
5,61,33,28,Pass
7,46,98,92,Pass
4,63,52,85,Pass
3,61,26,73,Pass
3,87,93,86,Pass
0,55,62,96,Pass
0,60,88,81,Pass
8,86,49,84,Pass
8,48,40,40,Pass
4,31,22,26,Fail
6,74,96,80,Pass
8,80,71,57,Pass
0,57,25,69,Fail
2,30,37,98,Fail
9,61,54,25,Pass
2,34,36,46,Fail
8,72,65,35,Pass
2,98,67,66,Pass
7,83,85,48,Pass
0,83,59,94,Pass
8,99,47,76,Pass
8,38,80,23,Pass
4,46,91,49,Pass
1,58,90,35,Pass
0,76,90,41,Fail
4,31,49,46,Fail
0,37,37,74,Fail
6,50,45,63,Pass
8,33,91,21,Pass
6,55,86,23,Pass
2,63,39,32,Pass
0,50,71,51,Fail
8,86,59,38,Pass
6,98,32,59,Pass
6,76,73,86,Pass
9,77,83,29,Pass
2,55,64,56,Pass
3,73,25,39,Pass
4,69,93,38,Pass
3,90,93,84,Pass
6,98,39,44,Pass
3,70,38,31,Pass
2,59,66,86,Pass
9,59,30,57,Pass
